file path,transcription,roman,vad flag,language flag,duration
/your/path/to/generated/cs/samples/by/unicom/1513_English_Shona_(Shona).wav,argentina is well known nekuve nechimwe chezvikwata neplayers vepolo vanogonesesa pasi rose,argentina is well known nekuve nechimwe chezvikwata neplayers vepolo vanogonesesa pasi rose,"{'No Speech': [{'start': 0, 'end': 38944}, {'start': 59872, 'end': 63520}, {'start': 81888, 'end': 94752}, {'start': 109536, 'end': 111136}, {'start': 153568, 'end': 202107}]}","{'English': [{'start': 0, 'end': 0}, {'start': 49036, 'end': 58330}, {'start': 113457, 'end': 122110}], 'Shona': [{'start': 0, 'end': 49036}, {'start': 58330, 'end': 113457}, {'start': 122110, 'end': 202107}]}",12.63
/your/path/to/generated/cs/samples/by/unicom/1516_English_Shona_(English).wav,please treat the site with all of the dignity solemnity and respect it deserves do not musaita jokes about the holocaust or nazis,please treat the site with all of the dignity solemnity and respect it deserves do not musaita jokes about the holocaust or nazis,"{'No Speech': [{'start': 0, 'end': 14880}, {'start': 75232, 'end': 81952}, {'start': 94176, 'end': 95776}, {'start': 107488, 'end': 114720}, {'start': 128480, 'end': 133152}, {'start': 183776, 'end': 197277}]}","{'English': [{'start': 0, 'end': 0}, {'start': 139685, 'end': 147694}, {'start': 158266, 'end': 168518}], 'Shona': [{'start': 0, 'end': 139685}, {'start': 147694, 'end': 158266}, {'start': 168518, 'end': 197277}]}",12.33
/your/path/to/generated/cs/samples/by/unicom/1517_English_Shona_(Shona).wav,dzidzo yemuai inosanganisira making michina inoita kuti tasks aiitwe zvisingadi maoko izvo zvinoda hunhu hweuchenjeri,dzidzo yemuai inosanganisira making michina inoita kuti tasks aiitwe zvisingadi maoko izvo zvinoda hunhu hweuchenjeri,"{'No Speech': [{'start': 0, 'end': 29216}, {'start': 123872, 'end': 130080}, {'start': 161248, 'end': 195048}]}","{'English': [{'start': 0, 'end': 0}, {'start': 67951, 'end': 73720}, {'start': 90708, 'end': 98721}], 'Shona': [{'start': 0, 'end': 67951}, {'start': 73720, 'end': 90708}, {'start': 98721, 'end': 195048}]}",12.19
/your/path/to/generated/cs/samples/by/unicom/1518_English_Shona_(English).wav,a former filipino policeman has kept hong kong tourists hostage by hijacking their bus in mumanila the guta guru of the rephilippines,a former filipino policeman has kept hong kong tourists hostage by hijacking their bus in mumanila the guta guru of the rephilippines,"{'No Speech': [{'start': 0, 'end': 17952}, {'start': 46560, 'end': 51232}, {'start': 61920, 'end': 67104}, {'start': 94688, 'end': 98336}, {'start': 137184, 'end': 141856}, {'start': 173024, 'end': 192262}]}","{'English': [{'start': 0, 'end': 0}, {'start': 124980, 'end': 135555}, {'start': 143567, 'end': 152540}, {'start': 157027, 'end': 170807}], 'Shona': [{'start': 0, 'end': 124980}, {'start': 135555, 'end': 143567}, {'start': 152540, 'end': 157027}, {'start': 170807, 'end': 192262}]}",12.02
/your/path/to/generated/cs/samples/by/unicom/1519_English_Shona_(Shona).wav,muzvinoitika zvizhinji kunyoresa kuti uite kosi panguva yezororo kunze kwenyika kunogona kuvandudza chances yako yemoving dzidzo yepamusoro munyika yako,muzvinoitika zvizhinji kunyoresa kuti uite kosi panguva yezororo kunze kwenyika kunogona kuvandudza chances yako yemoving dzidzo yepamusoro munyika yako,"{'No Speech': [{'start': 0, 'end': 46112}, {'start': 70112, 'end': 80928}, {'start': 127968, 'end': 130592}, {'start': 145376, 'end': 154144}, {'start': 221664, 'end': 271024}]}","{'English': [{'start': 0, 'end': 0}, {'start': 170123, 'end': 179094}, {'start': 187103, 'end': 194472}], 'Shona': [{'start': 0, 'end': 170123}, {'start': 179094, 'end': 187103}, {'start': 194472, 'end': 271024}]}",16.94
/your/path/to/generated/cs/samples/by/unicom/1521_English_Shona_(Shona).wav,satellite chinenge chiri mudenga pachinowana mashoko chinobva reflects pasi sezvaari ipapo ipapo,satellite chinenge chiri mudenga pachinowana mashoko chinobva reflects pasi sezvaari ipapo ipapo,"{'No Speech': [{'start': 0, 'end': 544}, {'start': 46560, 'end': 53280}, {'start': 95712, 'end': 141178}]}","{'English': [{'start': 0, 'end': 8975}, {'start': 58976, 'end': 66668}], 'Shona': [{'start': 0, 'end': 0}, {'start': 8975, 'end': 58976}, {'start': 66668, 'end': 141178}]}",8.82
/your/path/to/generated/cs/samples/by/unicom/1522_English_Shona_(Shona).wav,tekinoroji inoita kuti munhu aone dzimwe nzvimbo pamakombiyuta vadzidzi vanogona kuona museum artifacts kushanyira aquarium kana admire neati yakanaka vakatogara zvavo mukirasi mavo,tekinoroji inoita kuti munhu aone dzimwe nzvimbo pamakombiyuta vadzidzi vanogona kuona museum artifacts kushanyira aquarium kana admire neati yakanaka vakatogara zvavo mukirasi mavo,"{'No Speech': [{'start': 0, 'end': 46624}, {'start': 95200, 'end': 110112}, {'start': 124896, 'end': 131616}, {'start': 173024, 'end': 176160}, {'start': 196064, 'end': 213536}, {'start': 240096, 'end': 245280}, {'start': 255968, 'end': 258592}, {'start': 276960, 'end': 280096}, {'start': 294368, 'end': 335854}]}","{'English': [{'start': 0, 'end': 0}, {'start': 151481, 'end': 171978}, {'start': 185109, 'end': 195037}, {'start': 220337, 'end': 227703}], 'Shona': [{'start': 0, 'end': 151481}, {'start': 171978, 'end': 185109}, {'start': 195037, 'end': 220337}, {'start': 227703, 'end': 335854}]}",20.99
/your/path/to/generated/cs/samples/by/unicom/1528_English_Shona_(Shona).wav,dzimwe mhemberero dzine nzvimbo dzekukemba dzakagadzirirwa mhuri dzine children vadiki,dzimwe mhemberero dzine nzvimbo dzekukemba dzakagadzirirwa mhuri dzine children vadiki,"{'No Speech': [{'start': 0, 'end': 37920}, {'start': 56288, 'end': 63520}, {'start': 91616, 'end': 96800}, {'start': 138720, 'end': 186875}]}","{'English': [{'start': 0, 'end': 0}, {'start': 119890, 'end': 128545}], 'Shona': [{'start': 0, 'end': 119890}, {'start': 128545, 'end': 186875}]}",11.68
/your/path/to/generated/cs/samples/by/unicom/1531_English_Shona_(Shona).wav,zvitsuwa zvekumabvazuva kweafrica zviri kuindian ocean kumahombekombe ari kumabvazuva kweafrica,zvitsuwa zvekumabvazuva kweafrica zviri kuindian ocean kumahombekombe ari kumabvazuva kweafrica,"{'No Speech': [{'start': 0, 'end': 52256}, {'start': 106976, 'end': 112672}, {'start': 156128, 'end': 206937}]}","{'English': [{'start': 0, 'end': 0}, {'start': 98713, 'end': 105764}], 'Shona': [{'start': 0, 'end': 98713}, {'start': 105764, 'end': 206937}]}",12.93
/your/path/to/generated/cs/samples/by/unicom/1533_English_Shona_(Shona).wav,mafomati mazhinji akajairika aps mhuri yemafomati eaps semuenzaniso are kana kunyatsofungidzira pedyo nechokwadi chiyero ichi chekugoverana,mafomati mazhinji akajairika aps mhuri yemafomati eaps semuenzaniso are kana kunyatsofungidzira pedyo nechokwadi chiyero ichi chekugoverana,"{'No Speech': [{'start': 0, 'end': 22048}, {'start': 58336, 'end': 69152}, {'start': 110048, 'end': 118304}, {'start': 136160, 'end': 153632}, {'start': 183264, 'end': 186400}, {'start': 234976, 'end': 279940}]}","{'English': [{'start': 0, 'end': 0}, {'start': 146401, 'end': 148964}], 'Shona': [{'start': 0, 'end': 146401}, {'start': 148964, 'end': 279940}]}",17.5
/your/path/to/generated/cs/samples/by/unicom/1534_English_Shona_(Shona).wav,combined nekusabatana kwayo timbuktu yakatanga used sedimikira renyika dzekunze dzirikure,combined nekusabatana kwayo timbuktu yakatanga used sedimikira renyika dzekunze dzirikure,"{'No Speech': [{'start': 0, 'end': 544}, {'start': 10720, 'end': 12832}, {'start': 33760, 'end': 44576}, {'start': 56288, 'end': 68640}, {'start': 97760, 'end': 101920}, {'start': 120800, 'end': 122400}, {'start': 133600, 'end': 181673}]}","{'English': [{'start': 0, 'end': 8651}, {'start': 44537, 'end': 54149}, {'start': 79142, 'end': 83308}], 'Shona': [{'start': 0, 'end': 0}, {'start': 8651, 'end': 44537}, {'start': 54149, 'end': 79142}, {'start': 83308, 'end': 181673}]}",11.35
/your/path/to/generated/cs/samples/by/unicom/1535_English_Shona_(Shona).wav,inoshandisa information ainowana kubva kumasatelite uye inoshanda zviri nani kupfuura maradar aishandiswa kare uye inoita kuti air traffic controllers vaone mafambiro adzo uye padzinenge dziri zvakanyatsonaka uye vopa vatyairi vendege information akarurama,inoshandisa information ainowana kubva kumasatelite uye inoshanda zviri nani kupfuura maradar aishandiswa kare uye inoita kuti air traffic controllers vaone mafambiro adzo uye padzinenge dziri zvakanyatsonaka uye vopa vatyairi vendege information akarurama,"{'No Speech': [{'start': 0, 'end': 36384}, {'start': 73696, 'end': 91680}, {'start': 141280, 'end': 143392}, {'start': 167392, 'end': 174624}, {'start': 227808, 'end': 238112}, {'start': 268256, 'end': 276512}, {'start': 297952, 'end': 306208}, {'start': 321504, 'end': 327200}]}","{'English': [{'start': 0, 'end': 0}, {'start': 47718, 'end': 60529}, {'start': 60529, 'end': 71738}, {'start': 204324, 'end': 226422}], 'Shona': [{'start': 0, 'end': 47718}, {'start': 60529, 'end': 60529}, {'start': 71738, 'end': 204324}, {'start': 226422, 'end': 370405}]}",23.15
/your/path/to/generated/cs/samples/by/unicom/1537_English_Shona_(English).wav,you can see the mapiramidhi in the dark and you can see them in silence before the kuratidzira begins,you can see the mapiramidhi in the dark and you can see them in silence before the kuratidzira begins,"{'No Speech': [{'start': 0, 'end': 19488}, {'start': 123872, 'end': 139134}]}","{'English': [{'start': 0, 'end': 0}, {'start': 30122, 'end': 44542}, {'start': 95814, 'end': 110875}], 'Shona': [{'start': 0, 'end': 30122}, {'start': 44542, 'end': 95814}, {'start': 110875, 'end': 139134}]}",8.7
/your/path/to/generated/cs/samples/by/unicom/1545_English_Shona_(English).wav,a mvura can be either dry or wet depending on the inenge of liquid,a mvura can be either dry or wet depending on the inenge of liquid,"{'No Speech': [{'start': 0, 'end': 11808}, {'start': 29152, 'end': 31776}, {'start': 39392, 'end': 40992}, {'start': 102880, 'end': 122230}]}","{'English': [{'start': 0, 'end': 0}, {'start': 14105, 'end': 19555}, {'start': 84951, 'end': 90400}], 'Shona': [{'start': 0, 'end': 14105}, {'start': 19555, 'end': 84951}, {'start': 90400, 'end': 122230}]}",7.64
/your/path/to/generated/cs/samples/by/unicom/1548_English_Shona_(English).wav,when you chaya someone who is thousands of miles away you are uchisevenzesa a satellite,when you chaya someone who is thousands of miles away you are uchisevenzesa a satellite,"{'No Speech': [{'start': 0, 'end': 16928}, {'start': 103904, 'end': 123716}]}","{'English': [{'start': 0, 'end': 0}, {'start': 22110, 'end': 27237}, {'start': 77547, 'end': 92928}, {'start': 95492, 'end': 106067}], 'Shona': [{'start': 0, 'end': 22110}, {'start': 27237, 'end': 77547}, {'start': 92928, 'end': 95492}, {'start': 106067, 'end': 123716}]}",7.73
/your/path/to/generated/cs/samples/by/unicom/1549_English_Shona_(Shona).wav,aya maonero anoratidza kuti people vane zvavanoda nekana zvishuwo zvakaiswa mavari apo vachibva zera adulthood,aya maonero anoratidza kuti people vane zvavanoda nekana zvishuwo zvakaiswa mavari apo vachibva zera adulthood,"{'No Speech': [{'start': 0, 'end': 34848}, {'start': 43488, 'end': 48160}, {'start': 78304, 'end': 80416}, {'start': 96224, 'end': 102432}, {'start': 109536, 'end': 119840}, {'start': 157152, 'end': 162848}, {'start': 194528, 'end': 234058}]}","{'English': [{'start': 0, 'end': 0}, {'start': 70494, 'end': 75942}, {'start': 182645, 'end': 194181}], 'Shona': [{'start': 0, 'end': 70494}, {'start': 75942, 'end': 182645}, {'start': 194181, 'end': 234058}]}",14.63
/your/path/to/generated/cs/samples/by/unicom/1551_English_Shona_(English).wav,they are still kuzama to determine just how large the tsaona was and how the pasi will be affected,they are still kuzama to determine just how large the tsaona was and how the pasi will be affected,"{'No Speech': [{'start': 0, 'end': 17952}, {'start': 106464, 'end': 130775}]}","{'English': [{'start': 0, 'end': 0}, {'start': 25359, 'end': 31137}, {'start': 60991, 'end': 68374}, {'start': 87635, 'end': 92771}], 'Shona': [{'start': 0, 'end': 25359}, {'start': 31137, 'end': 60991}, {'start': 68374, 'end': 87635}, {'start': 92771, 'end': 130775}]}",8.17
/your/path/to/generated/cs/samples/by/unicom/1558_English_Shona_(English).wav,before an organization can be innovative vatungamiriri must create a culture of innovation as well as kupawo knowledge and organizational learning,before an organization can be innovative vatungamiriri must create a culture of innovation as well as kupawo knowledge and organizational learning,"{'No Speech': [{'start': 0, 'end': 13344}, {'start': 40416, 'end': 42528}, {'start': 61408, 'end': 67104}, {'start': 123872, 'end': 125472}, {'start': 137696, 'end': 144928}, {'start': 151520, 'end': 155680}, {'start': 180192, 'end': 202107}]}","{'English': [{'start': 0, 'end': 0}, {'start': 67920, 'end': 79453}, {'start': 122384, 'end': 128792}], 'Shona': [{'start': 0, 'end': 67920}, {'start': 79453, 'end': 122384}, {'start': 128792, 'end': 202107}]}",12.63
/your/path/to/generated/cs/samples/by/unicom/1559_English_Shona_(Shona).wav,kududza manzwi emutauro weitalian kuri nyore sezvo mashoko anodudzwa sekunyorwa kwaanenge are written,kududza manzwi emutauro weitalian kuri nyore sezvo mashoko anodudzwa sekunyorwa kwaanenge are written,"{'No Speech': [{'start': 0, 'end': 46112}, {'start': 122848, 'end': 131616}, {'start': 161248, 'end': 198020}]}","{'English': [{'start': 0, 'end': 0}, {'start': 150323, 'end': 159618}], 'Shona': [{'start': 0, 'end': 150323}, {'start': 159618, 'end': 198020}]}",12.38
/your/path/to/generated/cs/samples/by/unicom/1560_English_Shona_(English).wav,as soon as you get out of the current kushambira back is no more difficult than normally,as soon as you get out of the current kushambira back is no more difficult than normally,"{'No Speech': [{'start': 0, 'end': 8224}, {'start': 42464, 'end': 50208}, {'start': 98784, 'end': 114243}]}","{'English': [{'start': 0, 'end': 0}, {'start': 51622, 'end': 60280}], 'Shona': [{'start': 0, 'end': 51622}, {'start': 60280, 'end': 114243}]}",7.14
/your/path/to/generated/cs/samples/by/unicom/1565_English_Shona_(Shona).wav,chinangwa chikuru chesainzi ndechekuona kuti zvinhu zviri paworld zvinoshanda sei method iyi guides pakutsvakurudza kunoitwa zvinhu zvine chekuita nesainzi,chinangwa chikuru chesainzi ndechekuona kuti zvinhu zviri paworld zvinoshanda sei method iyi guides pakutsvakurudza kunoitwa zvinhu zvine chekuita nesainzi,"{'No Speech': [{'start': 0, 'end': 50720}, {'start': 80352, 'end': 90656}, {'start': 143840, 'end': 155168}, {'start': 183776, 'end': 185376}, {'start': 199136, 'end': 207392}, {'start': 250848, 'end': 281241}]}","{'English': [{'start': 0, 'end': 0}, {'start': 122053, 'end': 127819}, {'start': 156331, 'end': 163379}, {'start': 169145, 'end': 174270}], 'Shona': [{'start': 0, 'end': 122053}, {'start': 127819, 'end': 156331}, {'start': 163379, 'end': 169145}, {'start': 174270, 'end': 281241}]}",17.58
/your/path/to/generated/cs/samples/by/unicom/1568_English_Shona_(English).wav,though it is widely used especially among nonromani the word gypsy is often considered offensive because of its associations with negative mafungiro and inaccurate perceptions of romani people,though it is widely used especially among nonromani the word gypsy is often considered offensive because of its associations with negative mafungiro and inaccurate perceptions of romani people,"{'No Speech': [{'start': 0, 'end': 9248}, {'start': 59360, 'end': 64032}, {'start': 102368, 'end': 107040}, {'start': 211424, 'end': 226813}]}","{'English': [{'start': 0, 'end': 0}, {'start': 142518, 'end': 153407}], 'Shona': [{'start': 0, 'end': 142518}, {'start': 153407, 'end': 226813}]}",14.18
/your/path/to/generated/cs/samples/by/unicom/1572_English_Shona_(English).wav,three more mabhomba exploded near government buildings in a period of two hours,three more mabhomba exploded near government buildings in a period of two hours,"{'No Speech': [{'start': 0, 'end': 12832}, {'start': 84448, 'end': 102354}]}","{'English': [{'start': 0, 'end': 0}, {'start': 22120, 'end': 32058}], 'Shona': [{'start': 0, 'end': 22120}, {'start': 32058, 'end': 102354}]}",6.4
/your/path/to/generated/cs/samples/by/unicom/1574_English_Shona_(Shona).wav,nguva yechando can be kuita seisingatonhore tembiricha haiwanzodzike zvekusvika pakuoma kwechando asi mhepo inoita kuti kupedzisire kwava kutonhora kupfuura zvinenge zvichiratidzwa nethermometer,nguva yechando can be kuita seisingatonhore tembiricha haiwanzodzike zvekusvika pakuoma kwechando asi mhepo inoita kuti kupedzisire kwava kutonhora kupfuura zvinenge zvichiratidzwa nethermometer,"{'No Speech': [{'start': 0, 'end': 31776}, {'start': 78304, 'end': 81440}, {'start': 124384, 'end': 129056}, {'start': 157664, 'end': 163360}, {'start': 182240, 'end': 189472}, {'start': 232928, 'end': 268423}]}","{'English': [{'start': 0, 'end': 0}, {'start': 44853, 'end': 49018}], 'Shona': [{'start': 0, 'end': 44853}, {'start': 49018, 'end': 268423}]}",16.78
/your/path/to/generated/cs/samples/by/unicom/1578_English_Shona_(Shona).wav,zvadaro lakkha singh akatungamirira pakuimba bhajans,zvadaro lakkha singh akatungamirira pakuimba bhajans,"{'No Speech': [{'start': 0, 'end': 34336}, {'start': 45024, 'end': 46624}, {'start': 60896, 'end': 70176}, {'start': 86496, 'end': 92192}, {'start': 104416, 'end': 109600}, {'start': 131552, 'end': 166998}]}","{'English': [{'start': 0, 'end': 0}, {'start': 109661, 'end': 129542}], 'Shona': [{'start': 0, 'end': 109661}, {'start': 129542, 'end': 166998}]}",10.44
/your/path/to/generated/cs/samples/by/unicom/1582_English_Shona_(Shona).wav,family dzevahebheru happened life zvakawanda panze,family dzevahebheru happened life zvakawanda panze,"{'No Speech': [{'start': 0, 'end': 32}, {'start': 21472, 'end': 25632}, {'start': 57312, 'end': 114428}]}","{'English': [{'start': 0, 'end': 6732}, {'start': 25327, 'end': 32380}, {'start': 32700, 'end': 37189}], 'Shona': [{'start': 0, 'end': 0}, {'start': 6732, 'end': 25327}, {'start': 32380, 'end': 32700}, {'start': 37189, 'end': 114428}]}",7.15
/your/path/to/generated/cs/samples/by/unicom/1587_English_Shona_(English).wav,the vakatanga vanhu of the disease this season were reported in late wajuly,the vakatanga vanhu of the disease this season were reported in late wajuly,"{'No Speech': [{'start': 0, 'end': 3104}, {'start': 71136, 'end': 78577}]}","{'English': [{'start': 0, 'end': 0}, {'start': 5772, 'end': 15393}, {'start': 15714, 'end': 20525}, {'start': 59973, 'end': 69274}], 'Shona': [{'start': 0, 'end': 5772}, {'start': 15393, 'end': 15714}, {'start': 20525, 'end': 59973}, {'start': 69274, 'end': 78577}]}",4.91
/your/path/to/generated/cs/samples/by/unicom/1594_English_Shona_(Shona).wav,dzimwe animals dzakaita senzou uye twiza dzinowanzosvika pedyo nemotokari uye allow equipment nazvo munogona kunyatsoona animals idzi zvakanakisisa,dzimwe animals dzakaita senzou uye twiza dzinowanzosvika pedyo nemotokari uye allow equipment nazvo munogona kunyatsoona animals idzi zvakanakisisa,"{'No Speech': [{'start': 0, 'end': 35872}, {'start': 83936, 'end': 86560}, {'start': 123360, 'end': 131616}, {'start': 144352, 'end': 147488}, {'start': 163808, 'end': 165920}, {'start': 210400, 'end': 256906}]}","{'English': [{'start': 0, 'end': 0}, {'start': 41971, 'end': 52224}, {'start': 135205, 'end': 141933}, {'start': 148341, 'end': 156351}], 'Shona': [{'start': 0, 'end': 41971}, {'start': 52224, 'end': 135205}, {'start': 141933, 'end': 148341}, {'start': 156351, 'end': 256906}]}",16.06
